, NCLH, 14.37 , 2023-05-02 00:00:00-04:00 , 22.52 , 2023-07-10 00:00:00-04:00 ,8.15,56.7154,34064.9 ,96.7742 ,31 ,46 ,
, ALLE,109.374, 2023-05-01 00:00:00-04:00 ,126.052, 2023-07-25 00:00:00-04:00 , 16.6782,15.2488, 6452.81,93.1034 ,29 ,58 ,
, EBAY, 45.6236 , 2023-04-28 00:00:00-04:00 , 42.7537 , 2023-06-01 00:00:00-04:00 , -2.86991 ,-6.29041 ,4.5365e+06,94.3662 ,71 , 6 ,
, XHB , 69.4204 , 2023-04-27 00:00:00-04:00 , 84.6469 , 2023-08-01 00:00:00-04:00 , 15.2265,21.9337,54193.4 ,95.6522 ,46 ,65 ,
, MO, 43.9773 , 2023-04-25 00:00:00-04:00 , 44.7167 , 2023-05-01 00:00:00-04:00 ,0.739349, 1.68121 ,3.59322e+09 ,91.5033 , 153 , 4 ,
, DXCM,123.83 , 2023-04-24 00:00:00-04:00 ,124.93 , 2023-04-26 00:00:00-04:00 ,1.1 , 0.888313,3.31829e+06 ,98.2143 ,56 , 2 ,
, LHX ,199.705, 2023-04-19 00:00:00-04:00 ,182.23 , 2023-05-04 00:00:00-04:00 ,-17.4744,-8.75012 ,3.23121e+07 ,91.5254 , 118 , 1 ,
, AFRM, 11.68 , 2023-04-18 00:00:00-04:00 , 18.85 , 2023-06-08 00:00:00-04:00 ,7.17,61.387 , 7445.2 , 100, 4 ,36 ,
, SBUX,105.978, 2023-04-17 00:00:00-04:00 ,112.094, 2023-05-01 00:00:00-04:00 ,6.11544 , 5.77047 ,7.08232e+06 ,96.25 ,80 ,10 ,
, EFA , 71.0112 , 2023-04-14 00:00:00-04:00 , 71.6707 , 2023-05-08 00:00:00-04:00 ,0.659492, 0.928716,22842 ,96.4912 ,57 ,16 ,
, CLSK,3.94 , 2023-04-13 00:00:00-04:00 ,5.03 , 2023-04-18 00:00:00-04:00 ,1.09,27.665 , 635927 ,92.8571 ,14 , 3 ,
, LMT ,474.724, 2023-04-12 00:00:00-04:00 ,487.669, 2023-04-18 00:00:00-04:00 , 12.9453, 2.7269,2.82625e+08 ,96, 125 , 4 ,
